transliteration,normalization,remarks
Ga-ad-ma-nu-um,Gadmanum[]PN,
Ga-ba-ba,Gababa[]PN,
Ga-ba-tal,Gapatal[]PN,Hurrian
Ga-bi₂-da-num₂,Gabidanum[]PN,
Ga-šid-da-du,Gašiddadu[]PN,
Ga-šu,Gaga[]PN,Orient 16 045 24 seal 3: dumu Ga-ga (copy/photo)
Ga-da-bi,Gadabi[]PN,
Ga-eš₅{ki},Gaʾeš[]SN,
Ga-eš₅{ki}-še₃,Gaʾeš[]SN,
Ga-eš₅{ki}-ta,Gaʾeš[]SN,
Ga-eš{ki},Gaʾeš[]SN,
Ga-eš{ki}-še₃,Gaʾeš[]SN,
Ga-eš{ki}-ka,Gaʾeš[]SN,
Ga-gi-ta,Gagi[]PN,
Ga-na-lum,GA.na.LUM[]PN,"< ganānu 'confine', kanānu 'twist', qanānu 'make a nest'?"
Ga-na-na-tum,GA.na.na.tum[]PN,"< ganānu 'confine', kanānu 'twist', qanānu 'make a nest'?"
Ga-ra-a,Gara[]PN,"or, Garaʾa/Garaya?"
Ga-ra-da-du,Garadadu[]PN,LU2.SU (3 citations AS 04); = Garadatu?
Ga-ra-da-tu,Garadatu[]PN,MVN 15 142 o 22' (SH XX; copy/photo); = Garadadu?
Ga-ra-du,GA.ra.du[]PN,Qarradu?; MVN 11 140 o 12 (copy/photo)
Ga₂-a-kam,Ŋakam[]PN,
Gab₂-ba{ki},Gaba[]SN,
Gab₂-la-AŠ{ki},Gablaš[]SN,"or, Kablaš?"
Gab₂-la-aš{ki},Gablaš[]SN,
Gal-PI,Gal.PI[]PN,MVN 11 140 o 12 (copy/photo)
Gal-la-a,Gala[]PN,"or, Galaʾa/Galaya?"
Gal-la-a-še₃,Gala[]PN,
Gar₃-AN,GAR₃.AN[]PN,TIM 6 15 o 15 (copy)
Gar₃-NE-NE{ki},Gar₃.NE.NE{ki}[]SN,
Gar₃-NE.NE{ki},Gar₃.NE.NE{ki}[]SN,
Gar₃-NE.NE{ki}-me-eš₂,Gar₃.NE.NE{ki}[]SN,
Gar₃-du₈-a{ki},Guduʾa[]SN,MVN 08 142 o 4: 1 sila4 ensi2 Gu2-du8-a{ki} (copy/photo)
Ge-na,Gina[]PN,hypo?; NYPL 206 o 7 (copy/photo)
Geme₂-bara₂-si-ga,Gemebaragesiga[]PN,
Geme₂-e₂-an-na,GemeʾEʾanak[]PN,
Geme₂-sa₆-ga,Gemesaga[]PN,
Geme₂-ur-sag-pa-e₃,Gemeʾursaŋpaʾek[]PN,
Geme₂-{d}Ba-u₂-ke₄,GemeBaʾuk[]PN,
Geme₂-{d}Šul-pa-e₃,GemeŠulpaʾek[]PN,
Geme₂-{d}En-lil₂-la₂,GemeEnlilak[]PN,
Geme₂-{d}En-lil₂-la₂-še₃,GemeEnlilak[]PN,
Geme₂-{d}En-lil₂-la₂-ke₄,GemeEnlilak[]PN,
Geme₂-{d}Gestin-an-na,GemeGeštinAnakak[]PN,
Geme₂-{d}Nanna,GemeNannak[]PN,
Geme₂-{d}Nin-a-zu,GemeNinazuk[]PN,
Geme₂-{d}Nin-li₂-la₂,GemeNinlilak[]PN,
Geme₂-{d}Nin-lil₂,GemeNinlilak[]PN,
Geme₂-{d}Nin-lil₂-še₃,GemeNinlilak[]PN,
Geme₂-{d}Nin-lil₂-ka,GemeNinlilak[]PN,
Geme₂-{d}Nin-lil₂-ka-še₃,GemeNinlilak[]PN,
Geme₂-{d}Nin-lil₂-la₂,GemeNinlilak[]PN,
Geme₂-{d}Nin-lil₂-la₂-še₃,GemeNinlilak[]PN,
Geme₂-{d}Nin-lil₂-la₂-ka,GemeNinlilak[]PN,
Geme₂-{d}Nin-lil₂-la₂-ka-še₃,GemeNinlilak[]PN,
Geme₂-{d}Suen,GemeSuʾenak[]PN,
Gi-da-nu-um{ki},Zidanum[]SN,uncertain; SET 059 o 10: 1 udu niga Ra-ši lu2 Gi?/Zi?-da-nu-um{ki} (GI read for ZI?; no copy/photo)
Gi-gi-ib-ni{ki},Gigibni[]SN,Babyl. 8 Pupil 30 r 1: Še-et-pa2-tal lu2 Gi-gi/-ib-ni{ki} (copy)
Gi-ib-la-ta-gu₂,Giblatagu[]PN,uncertain; CHEU 006 o i 15: (1 sila4) Gi-ib-la-[x]/-gu2?# (copy)
Gi-ir-ša-ti,Giršati[]PN,
Gi-nu-na,Ginuna[]PN,
Gi₄-su,Gisu[]PN,
Giš-a-ni,Ŋešani[]PN,
Gir-ba-tal,Girpatal[]PN,Hurrian
Gir-ri,Girri[]PN,lu2-kin-gi4-a < Anšan
Gir₁₃-giš{ki},Girŋeš[]SN,
Gir₁₃-tab{ki},Girtab[]SN,
Gir₁₃-tab{ki}-še₃,Girtab[]SN,
Gir₁₃-tab{ki}-ta,Girtab[]SN,
Gir₂-ri-ri,Ŋiriri[]PN,uncertain; BPOA 6 0187 o 13: 2 udu u2 Gir2?#-ri-ri (no copy/photo)
Gir₂-su,Ŋirsu[]SN,
Gir₂-su-ke₄-ne,Ŋirsu[]SN,
Gir₂-su{ki},Ŋirsu[]SN,
Gir₂-su{ki}-še₃,Ŋirsu[]SN,
Gir₂-su{ki}-ka,Ŋirsu[]SN,
Gir₂-su{ki}-ke₄,Ŋirsu[]SN,
Gir₂-su{ki}-ke₄-ne,Ŋirsu[]SN,
Gir₂-su{ki}-me,Ŋirsu[]SN,
Gir₂-su{ki}-ta,Ŋirsu[]SN,
Giri₃-ša-ma,GIR₃.ša.ma[]PN,etym (/ŋ/ or /g/)?; MVN 03 339 o 3 (copy/photo)
Giri₃-gid₂-da{ki},Ŋirigida[]SN,
Giri₃-ir,GIR₃.ir[]PN,"Ŋ/Girir, Ŋ/Giriʾir? (probly Sem); Studies Levine 115-119 i 29' (no copy/photo)"
Giri₃-ne₂,Ŋirini[]PN,hypo?
Giri₃-ne₂-ab-e₃,Ŋiriniʾabe[]PN,
Giri₃-ne₂-še₃,Ŋiriniše[]PN,
Giri₃-ne₂-i₃-dab₅,Ŋirineʾidab[]PN,
Giri₃-ne₂-i₃-sa₆,Ŋirineʾisag[]PN,
Giri₃-ne₂-i₃-sa₆-ka-še₃,Ŋirineʾisag[]PN,
Giri₃-ne₂-i₃-sa₆-ra,Ŋirineʾisag[]PN,
Giri₃-ne₂-i₃-sa₆-ta,Ŋirineʾisag[]PN,
Giri₃-ne₂-ta,Ŋirini[]PN,
Giri₃-ni-še₃,Ŋiriniše[]PN,
Giri₃-sa₆-sa₆,Ŋirisagsag[]PN,
Giri₃-{d}Šara₂-i₃-dab₅,ŊiriŠaraʾidab[]PN,
Giri₃-{d}Šul-gi,ŊiriŠulgi[]PN,hypo?; MVN 15 269 o 1: 1 sila4 GIR3?/ANŠE?-{d}/Šul-gi (copy)
Giri₃-{d}Nanše,ŊiriNanše[]PN,hypo?; AUCT 2 054 r 2: 1 gud Giri3-{d}Nanše [x?] (copy/photo)
Gu-ša{ki},Guša[]SN,
Gu-še,Guše[]PN,
Gu-da-a,Guda[]PN,"or, Gudaʾa/Gudaya?"
Gu-du,Gudu[]PN,
Gu-du-du,Gududu[]PN,
Gu-du-du-me,Gududu[]PN,
Gu-du-du-ta,Gududu[]PN,
Gu-du-me-ri-iš,Gudumeriš[]PN,< LU2.SU.A{ki}
Gu-la-a,Gula[]PN,"or, Gulaʾa/Gulaya?"
Gu-lu₅-lu₅,Gululu[]PN,
Gu-ma,Gumaraši[]SN,typo
Gu-ma-ra-ši,Gumaraši[]SN,
Gu-ma-ra-ši{ki},Gumaraši[]SN,
Gu-ni-id-da-hi,Gunidahi[]PN,
Gu-ra-a,Gura[]PN,"or, Guraʾa/Guraya?; < Ebla/Uršu"
Gu-ru-ru-a,Gururuʾa[]PN,
Gu-ru-sal₄-la{ki},Gurusala[]SN,
Gu-u₂-UD,Gu.u₂.UD[]PN,RA 09 051 SA 200 (pl.5) o 5: 2 udu niga Gu-u2-UD / lu2 Hu-ur-ti-en{ki}
Gu-un-da,Gunda[]PN,
Gu-za-LUM,GU.za.LUM[]PN,"< guzallu 'rascal', guzalû 'throne-bearer', g/kuzallu 'shepherd', Kuzallu 'OA/MA MN'?"
Gu-za-na,Guzana[]PN,= Guzani?
Gu-za-na-ke₄,Guzana[]PN,
Gu-za-na-ta,Guzana[]PN,
Gu-za-ni,Guzani[]PN,= Guzana?
Gu-za-ni-ta,Guzani[]PN,
Gu-za-zi,Guzazi[]PN,
Gu-ze₂,Guze[]PN,Guṣi?
Gu-zi-mu,Gu.zi.MU[]PN,Sum. or Akk./Sem.?; PDT 1 408 o 4 (no copy/photo)
Gu-zu-zu,Guzuzu[]PN,Guṣuṣu?
Gu₂-TAR-la₂,Guhašla[]PN,Mr. Barber
Gu₂-ab-ba{ki},Guʾaba[]SN,
Gu₂-de₂-a,Gudeʾa[]PN,"MVN 07, 454 o 3: Gu3?-de2-a (so CDLI; no copy/photo)"
Gu₂-du₈-a,Guduʾa[]SN,
Gu₂-du₈-a-ke₄,Guduʾa[]SN,
Gu₂-du₈-a-ta,Guduʾa[]SN,
Gu₂-du₈-a{ki},Guduʾa[]SN,
Gu₂-du₈-a{ki}-,Guduʾa[]SN,typo (TCUR 19 o 3-4; written over 2 lines; tranlsit only)
Gu₂-du₈-a{ki}-še₃,Guduʾa[]SN,
Gu₂-du₈-a{ki}-ka,Guduʾa[]SN,
Gu₂-du₈-a{ki}-me,Guduʾa[]SN,
Gu₂-du₈-a{ki}-ta,Guduʾa[]SN,
Gu₂-du₈-a¶{ki},Guduʾa[]SN,formatting
Gu₂-ur₂-gu-la{ki},Gurgula[]SN,
Gu₃-de₂-a,Gudeʾa[]PN,
Gu₃-de₂-a-še₃,Gudeʾa[]PN,
Gu₃-de₂-a-ni,Gudeʾani[]PN,
Gu₃-de₂-a-ta,Gudeʾa[]PN,
Gu₃-zi-de₂-a,Guziddeʾa[]PN,
Gu₄-KU-uz,Gukuz[]PN,Syracuse 064 r 17 (copy/photo)
Gu₄-da-šum,Gudašum[]PN,
Gu₅-ub-la{ki},Gubla[]SN,
Gur-da-a,Gurda[]PN,"or, Gurdaʾa/Gurdaya?"
HAR-šum,HI×AŠ₂.šum[]PN,uncertain; RA 19 192 04 r 1: (ŋiri3 PN) u3 dumu? HAR?-šum (copy)
HAR-sa₆-sa₆,HI×AŠ₂.sag₉.sag₉[]PN,
HAR-sa₆-sa₆-ta,HI×AŠ₂.sag₉.sag₉[]PN,
HAR-ti,Hurti[]SN,
HI-mu,Dugaŋu[]PN,uncertain; SAT 3 2104 r ii 3 (no copy/photo)
HI.GAL₂-ta,Heŋal[]PN,uncertain; may not be PN (2 PD refs)
|HI×SAR|,HI×SAR.gu.ni.na[]PN,TRU 373 o 5 (whole line is probly PN; copy/photo)
Ha-ab-ru,Habru[]PN,
Ha-ab-ru-bu,Habrušer[]PN,AUCT 1 415 o 2: mu-DU Ha-ab-ru-še-er (so photo; copy ends -bu)
Ha-ab-ru-ša,Habruša[]PN,
Ha-ab-ru-še-er,Habrušer[]PN,
Ha-aš-ma-nu-um,Hašmanum[]PN,Martu
Ha-aš-ti-a,Haštiʾa[]PN,
Ha-ad-ha-ad,Hadhad[]PN,
Ha-za-ab-tum,Hanzabtum[]PN,typo
Ha-an--za-ab-tum,Hanzabtum[]PN,typo
Ha-an-DU,Handu[]PN,= Ha-an-du-u2 at Garshana?
Ha-an-za-ab-tum,Hanzabtum[]PN,
Ha-an-za-ab-tum-ma-še₃,Hanzabtum[]PN,
Ha-ar-bi₂-in,Harbin[]PN,
Ha-ar-ši,Harši[]SN,
Ha-ar-ši-ki,Harši[]PN,
Ha-ar-ši{ki},Harši[]SN,
Ha-ar-ši{ki}-me,Harši[]SN,
Ha-ar-ši{ki}-me-eš₂,Harši[]SN,
Ha-ar-pa₂-tal,Harpatal[]PN,Hurrian
Ha-ar-si{ki},Harši[]SN,
Ha-ar₂-ši{ki},Harši[]SN,
Ha-ba-an-zi-zi,Habanzigzig[]PN,may not be Sum.
Ha-ba-ba,Hababa[]PN,hypo?
Ha-ba-ba-tum,Hababatum[]PN,
Ha-ba-mu,Habamu[]PN,
Ha-ba-lu₅-ge₂,Habaluge[]PN,
Ha-ba-tum-li-ip-du,Habatumlipdum[]PN,"AS 07, 08"
Ha-ba-tum-li-ip-tum,Habatumlipdum[]PN,AS 09
Ha-ba-za-tum-še₃,Habazatum[]PN,
Ha-bi₂-ša,Habiša[]PN,
Ha-bi₂-da-tal,Habidatal[]PN,Hurrian
Ha-bi₂-it-be-li₂,Habitbeli[]PN,BPOA 7 2918 r 1: [Ha?-b]i2-it/-be-li2 (photo)
Ha-bu-ra,Habura[]SN,
Ha-bu-ra{ki},Habura[]SN,
Ha-ši-ip-a-tal,Hašipatal[]PN,Hurrian
Ha-ši-ma-tal-ta,Hašipatal[]PN,b/m/p writings likely indicative of /f/ in Hurrian
Ha-ši-pa₂-tal,Hašipatal[]PN,
Ha-ši-pa₂-tal{ki},Hašipatal[]PN,KI probly lapsis from previous line (JCS 31 166 o 2; copy/photo)
Ha-šu-an-num{ki},Hašuʾannum[]SN,
Ha-da-da,Hadada[]PN,
Ha-da-ti,Hadati[]PN,
Ha-ga-ar{ki},Hagar[]SN,
Ha-hu-um{ki},Hahum[]SN,
Ha-la-a,Hala[]PN,"or, Halaʾa/Halaya?"
Ha-la-a-ta,Hala[]PN,
Ha-la-aš-ti,Halašti[]PN,
Ha-la-la,Halala[]PN,
Ha-la-ti,Halati[]PN,
Ha-la-{d}Lamma,HalaLammarak[]PN,spelling showing final -r never appears
Ha-li₂,Hali[]PN,= Halli?
Ha-li₂-li₂,Halili[]PN,sandhi for Hal-i3-li2?
Ha-li₂-li₂-še₃,Halili[]PN,
Ha-lu-lu-a,Haluluʾa[]PN,
Ha-lu₅,Halu[]PN,Halug/Haluge?
Ha-lu₅-lu₅,Halulu[]PN,
Ha-ma-zi₂{ki},Hamazi[]SN,
Ha-ma-zi₂{ki}-še₃,Hamazi[]SN,
Ha-ma-zi₂{ki}-ka,Hamazi[]SN,
Ha-ma-zi₂{ki}-ke₄,Hamazi[]SN,
Ha-ma-zi₂{ki}-ta,Hamazi[]SN,
Ha-ma-{d}NE-in,Ha.ma.{d}NE.in[]PN,AUCT 1 486 r 19 (copy/photo)
Ha-na-ab-tum,Hanabtum[]PN,
Ha-na-am,Hanam[]PN,
Ha-ni,Hali[]PN,= Halli?
Ha-ra-har{ki},Karahar[]SN,
Ha-ri-iš-hu-un-tah,Harišhuntah[]PN,MVN 13 695 o 8 (copy/photo)
Ha-ur₂-na-ni-gi₄,Haʾurnanigi[]PN,
Ha-zi,Hazi[]PN,Haṣi?
Hal-ba-an,Halban[]PN,
Hal-hal-la,Halhala[]PN,
Hal-i₃-li₂,Halili[]PN,
Hal-li₂,Halli[]PN,
Hal-li₂-a,Halliya[]PN,"or, Halliʾa?"
Hal-li₂-ia₅,Halliya[]PN,
Hal-li₂-li₂,Halili[]PN,
He-da-ti,Hedati[]PN,Sum. or Akk./Sem.?
He₂-ab-su₃-e,Habsude[]PN,uncertain (he2 for ha?)
He₂-bi₂-la-at{ki},Hebilat[]SN,
He₂-šu-um-ma{ki},Hešum[]SN,
He₂-du-ut-{d}Amar-{d}Suen,HidutAmarSuʾen[]PN,
He₂-na-DU.DU,He₂.na.DU.DU[]PN,Henalah?
He₂-na-du-du,He₂.na.DU.DU[]PN,
He₂-na-sa₆,Henasag[]PN,
He₂-na-sig₅,Henasag[]PN,
He₂-sa₆-ge,Hesage[]PN,
He₂-ti,Hetil[]PN,
Hi-ba-ri-tum{ki}-ta,Hibaritum[]SN,
Hi-bi-la-tum{ki},Hibilatum[]SN,
Hi-bi₂-la-a-at{ki},Hibilatum[]SN,
Hi-bi₂-la-at{ki},Hibilatum[]SN,
Hi-gal₂-ta,Heŋal[]PN,
Hi-ir,Hir[]PN,
Hi-ir-ṣum,Hirṣum[]PN,
Hi-ir-ta,Hir[]PN,
Hi-li,Hili[]PN,
Hi-li-a,Hiliʾa[]PN,"or, Hiliya?"
Hi-li-abzu,HiliʾAbzu[]PN,
Hi-li-iš,Hiliš[]PN,
Hi-pi₅-la-ti,Hibilatum[]PN,
Hu-DU.DU,Hu.DU.DU[]PN,"Sum. prec + vb, or Sem.?"
Hu-HAR.HAR,Hu.HI×AŠ₂.HI×AŠ₂[]PN,"Sum. prec + vb, or Sem.?"
Hu-al-la,HuʾAlla[]PN,uncertain
Hu-ba,Huba[]PN,
Hu-ba-MIR-si-NI,Hu.ba.DUN₃@g@g.si.NI[]PN,ensi2 Hurti
Hu-ba-a,Huba[]PN,"or, Hubaʾa/Hubaya?"
Hu-ba-a-še₃,Huba[]PN,
Hu-ba-a-ta,Huba[]PN,
Hu-ba-mir-si-ni,Hu.ba.DUN₃@g@g.si.NI[]PN,
Hu-ba-nu,Hubanuduk[]PN,uncertain; MVN 05 116 r 1: giri3 Hu-ba-nu-dug4-gum3? (copy/photo)
Hu-ba-nu-du-uk,Hubanuduk[]PN,
Hu-ba-ta,Huba[]PN,
Hu-bi-um{ki},Hubum[]SN,
Hu-bu-di-a,Hubutiya[]PN,"or, Hubutiʾa?"
Hu-bu-ti-a,Hubutiya[]PN,
Hu-ha,Huha[]PN,
Hu-hu-nu-ri,Huhnuri[]SN,
Hu-hu-nu-ri{ki},Huhnuri[]SN,
Hu-hu-nu-ur,Huhunur[]PN,= Huhnuri?
Hu-la-al,Hulal[]PN,
Hu-la-al-la,Hulal[]PN,uncertain; SAT 3 1401 r 8 (SS 03; no copy/photo)
Hu-la-li₂,Hulali[]PN,
Hu-li-ba-ar,Hulibar[]PN,
Hu-li-bar,Hulibar[]PN,
Hu-li-bar-še₃,Hulibar[]PN,
Hu-li₂-bar,Hulibar[]PN,
Hu-lu-du-uk,Huluduk[]PN,
Hu-ma-sa₃,Humasa[]PN,
Hu-na-zi,Hunazi[]PN,Hunaṣi?
Hu-ne-dam,Hupitam[]PN,
Hu-nu-nu-lu-ta,Hununur[]PN,uncertain; CT 32 50 BM 103409 o 15: 2 sila4 ki Hu-nu-nu-lu-ta (copy)
Hu-nu-nu-ur,Hununur[]PN,20 citations
Hu-nu-nu-ur-ta,Hununur[]PN,
Hu-nu-um,Hunum[]PN,
Hu-pa₂,Huba[]PN,
Hu-pi₅-tam₂,Hupitam[]PN,
Hu-pi₅-tam₂-ta,Hupitam[]PN,
Hu-pu-um{ki}-še₃,Hubum[]SN,
Hu-ra-zi,Huraṣi[]PN,uncertain
Hu-ru,Huru[]PN,
Hu-su-uz-za-ar-ra-ri,Husuzzarrari[]PN,
Hu-ub-ni{ki},Hubni[]SN,
Hu-ub-ni{ki}-ta,Hubni[]SN,
Hu-uh-nu-ri{ki},Huhnuri[]SN,"UH misread for UH2 (SET 065 r 10, TCS 186 r 5)"
Hu-uh₂-nu-,Huhnuri[]SN,typo (written over 2 lines)
Hu-uh₂-nu-ri,Huhnuri[]SN,
Hu-uh₂-nu-ri-ki,Huhnuri[]SN,
Hu-uh₂-nu-ri.ki,Huhnuri[]SN,
Hu-uh₂-nu-ri{ki},Huhnuri[]SN,
Hu-uh₂-nu-ri{ki}-ka,Huhnuri[]SN,
Hu-uh₂-nu-ri{ki}-ke₄-ne,Huhnuri[]SN,BIN 3 402 o 3: uzu-bi gar3-du lu2 Hu-uh2-nu-ri{ki}-ke4-ne ba-ab-gu7 (copy)
Hu-uh₂:nu-ri{ki},Huhnuri[]SN,
Hu-uh₃-nu-ri{ki},Huhnuri[]SN,"5 PD citations: 3 with UH3 misread for UH2, 1 unkn (PDT 2 0796 r 3; no copy/photo), 1 (ASJ 19 206 20 r 9; copy) restored"
Hu-ul-li-bar,Hulibar[]PN,
Hu-um-ra-nu-um,Humranum[]PN,
Hu-um-zum,Humzum[]PN,Humṣu(m)?
Hu-un-da-hi-še-er,Hundahišer[]PN,
Hu-un-da-ri,Hundari[]PN,
Hu-un-ga-ad,Hungad[]PN,
Hu-un-gu-ur₂-bi,Hungurbi[]PN,
Hu-un-ha-ab-UR,Hu.un.ha.ab.UR[]PN,Hunhabtiš?
Hu-un-hi-li,Hunhili[]PN,
Hu-un-hu-nu,Hunhunu[]PN,
Hu-un-hu-ub-še,Hunhupše[]PN,probly Hurrian
Hu-un-hur-ti,Hunhurti[]PN,
Hu-un-ki-ib-ri,Hunkibri[]PN,probly Hurrian
Hu-un-na-zi,Hunnazi[]PN,
Hu-un-nu-bu,Hunnubu[]PN,
Hu-un-nu-du-uk,Hunnuduk[]PN,
Hu-un-nu-um,Hunnum[]PN,
Hu-un-za-ti,Hunzati[]PN,Hunṣati?
Hu-un-ze₂-ri,Hunzeri[]PN,Hunṣeri?
Hu-un-{d}Šul-gi,HunŠulgi[]PN,
Hu-un-{d}šul-gi,HunŠulgi[]PN,
Hu-ur-ti-EN{ki},Hu.ur.ti.EN{ki}[]SN,probly mistaken writing for Hurti (PPAC 4 067 o 5; copy/photo)
Hu-ur-ti{ki},Hurti[]SN,
Hu-ur-ti{ki}-me-eš₂,Hurti[]SN,
Hu-ur-ti{ki}-ta,Hurti[]SN,
Hu-ur₂-ti{ki},Hurti[]SN,3 PD citations; CDLB 2012: 2 2.2 r 16 (UR2 misread for UR5)
Hu-ur₅-,Hurti[]SN,typo (written over 2 lines)
Hu-ur₅-ri{ki},Hurti[]SN,RI probly typo; BPOA 7 2793 r 5f: mu mu Ki-maš{ki} u3 Hu-ur5-ri{ki} ba-hul (no copy/photo)
Hu-ur₅-ti,Hurti[]SN,
Hu-ur₅-ti-ki,Hurti[]SN,
Hu-ur₅-ti{ki},Hurti[]SN,
Hu-ur₅-ti{ki}-še₃,Hurti[]SN,
Hu-ur₅-ti{ki}-ta,Hurti[]SN,
Hu-wa-wa,Huwawa[]PN,
Hu-zi-ni,Huzini[]WN,BPOA 7 2048 o 4: gu2 {id2}Hu-zi-ni (no copy/photo)
Hu-zi-ri,Huziri[]PN,
Hur-sag-ba-ša-ar,Hursaŋbašar[]GN,Jebel Bišri
Hur-sag-ga-lam-GA-ma,Hursaŋkalamak[]DN,AUCT 1 291 o 13 (copy/photo)
Hur-sag-ga-lam-ma,Hursaŋkalamak[]DN,"or, TN?; contextual with offerings to DNs (127 citations)"
Hur-ti,Hurti[]SN,
Hur-ti{ki},Hurti[]SN,
Hur{ur}-ti{ki},Hurti[]SN,
I-ba-a,Iba[]PN,"or, Ibaʾa/Ibaya?; or, Akk. Ibbaya (hypo < Ibbi-DN?)"
I-ba-ti,Ibati[]PN,ensi2 Gubla
I-bi-iq-re-e-u₂,Ipiqreʾu[]PN,
I-bi₂-id-Er₃-ra,IbitErra[]PN,
I-bi₂-lu-lu,IbbiLulu[]PN,uncertain
I-bi₂-zu,Ibizu[]PN,
I-bi₂-{d}IŠKUR,IbbiʾAdad[]PN,
I-bi₂-{d}Ištaran,IbbiʾIštaran[]PN,
I-bi₂-{d}Istaran,IbbiʾIštaran[]PN,
I-bi₂-{d}Nu-muš-da,IbbiNumušda[]PN,
I-bi₂-{d}Suen,IbbiSuʾen[]RN,
I-da-be-li₂,Idabeli[]PN,
I-ša-we-er,IšaWer[]PN,< Harši
I-ša-wi-ir,IšaWer[]PN,
I-šar-IGI.ŠE₃-{d}Suen,I.šar.IGI.EŠ₂.{d}Suʾen[]PN,Nisaba 08 378 o 11: I-šar-IGI.ŠE3-{d}Suen (sic!) / sagi maškim (no copy/photo)
I-šar-a-hi,Išarahi[]PN,
I-šar-a-li₂-iš-su₂,Išarališšu[]PN,< Kimaš
I-šar-be-li₂,Išarbeli[]PN,
I-šar-i₃-li₂,Išarili[]PN,
I-šar-ki-in,Išarkin[]PN,
I-šar-kur-ba-šum,Išarkurbašum[]PN,
I-šar-li-bi,Išarlibbi[]PN,
I-šar-li-bur,Išarlibur[]PN,
I-šar-pa₂-da-AŠ,I.šar.pa₂.da.AŠ[]PN,probly Išarpadan (JCS 54 12 82 r ii 19'; no copy/photo)
I-šar-pa₂-dan,Išarpadan[]PN,
I-šar-pa₂-dan-ka,Išarpadan[]PN,
I-šar-pa₂-dan-ta,Išarpadan[]PN,
I-šar-ra-ku-da-aš,Išarakudaš[]PN,
I-šar-ra-ma-aš,Išaramaš[]PN,
I-šar-ra-maš,Išaramaš[]PN,
I-šar-ru-um,Išarum[]PN,
I-šar-um,Išarum[]PN,
I-šar-{d}Šu-{d}Suen,IšarŠuSuʾen[]PN,
I-šar-{d}Šul-gi,IšarŠulgi[]PN,
I-ši-We-er,IšiWer[]PN,< Harši
I-šim-{d}Šu-{d}Suen{ki}-me-eš₂,IšimŠuSuʾen[]SN,
I-šim-{d}Šul-gi,IšimŠulgi[]SN,= EZEN-{d}Šul-gi?
I-šim-{d}Šul-gi-ra,IšimŠulgi[]SN,
I-šim-{d}Šul-gi-ra-ta,IšimŠulgi[]SN,
I-šim-{d}Šul-gi{ki},IšimŠulgi[]SN,
I-šim-{d}Šul-gi{ki}-me,IšimŠulgi[]SN,
I-šim-{d}Šul-gi{ki}-ra,IšimŠulgi[]SN,
I-šu-a-nu-um,IšuʾAnum[]PN,
I-šu-dan,Išudan[]PN,Išumdan?
I-šum-ba-ni,Išumbani[]PN,
I-šum-ma{ki},Išum[]SN,
I-šur₆{ki},Išur[]SN,= Aššur?
I-ṭib{ib}-si-na-at,Iṭibšinat[]PN,
I-da-šu,Idašu[]PN,
I-da-du,Idadu[]PN,
I-da-gu-ur,Idagur[]PN,
I-din-AK,I.din.AK[]PN,< Mari
I-din-DINGIR,Idinilum[]PN,
I-din-E₂-a,IdinEa[]PN,
I-din-E₂-a-ta,IdinEa[]PN,
I-din-E₂-a-tal,IdinEatal[]PN,JCS 52 11 44 r 1: [...]-HI?-E2?-a-RI (broken context; copy/photo)
I-din-Eš₄-tar₂,IdinEštar[]PN,
I-din-Er₃-ra,IdinErra[]PN,
I-din-Er₃-ra-ke₄,IdinErra[]PN,
I-din-Er₃-ra-ta,IdinErra[]PN,
I-din-I-šum,IdinIšum[]PN,
I-din-ni-TUG₂,Idinilu[]PN,UDT 091 o vii 29' (copy)
I-din-{d}Da-gan,IdinDagan[]PN,
I-din-{d}Da-gan-še₃,IdinDagan[]PN,
I-din-{d}En-lil₂,IdinEnlil[]PN,
I-din-{d}IŠKUR,IdinAdad[]PN,
I-din-{d}IŠKUR-ta,IdinAdad[]PN,
I-din-{d}Suen,IdinSuʾen[]PN,
I-din-{d}Suen-ta,IdinSuʾen[]PN,
I-du-a,Iduʾa[]PN,
I-du-du-a-ta,Idudu[]PN,
I-gal-še-ru-mah,Igirumah[]PN,UDT 112 o 8: 1 sila4 I-gi4-ru-mah (copy)
I-gi-ru-mah,Igirumah[]PN,
I-gi₄,Igi[]PN,
I-gi₄-a,Igiʾa[]PN,
I-gi₄-ha-lum,Igihalum[]PN,
I-gi₄-ri-mah,Igirumah[]PN,
I-gi₄-ru-mah,Igirumah[]PN,
I-gi₄-ru-um,I.gi.ru.X[]PN,"Igirumah?; AUCT 2 099 r 1: mu-DU I-gi4-ru-x# (copy UM; photo shows abraded, possibly MAH?)"
I-ib-a-bu,Yibabu[]PN,uncertain
I-ki-zu,Ikizu[]PN,
I-ku-mi-šar,Ikumišar[]PN,
I-ku-mi-šar-ta,Ikumišar[]PN,
I-ku-nu-um,Ikunum[]PN,
I-ku-num₂,Ikunum[]PN,
I-ku-pi₄-{d}UTU,IkunpiŠamaš[]PN,
I-ku-um-i-šar,Ikumišar[]PN,
I-ku-um-mi-šar,Ikumišar[]PN,
I-ku-un-KA-{d}Utu,IkunpiŠamaš[]PN,
I-la-a-bu-um,Ilabum[]PN,
I-la-ag-šu-qir,Ilagšuqir[]PN,
I-la-ag-ra-am,Ilagram[]PN,
I-la-bu-i-ga-du,Ilabuʾigadu[]PN,
I-la-bu-i-ga-tu,Ilabuʾigadu[]PN,
