transliteration,normalization,sign_names,remarks
En-ur₂-ku₃-ge-ta,Enurkuge[]PN,EN UR₂ KU₃ GI TA,
En-zi,Enzid[]PN,EN ZI,
En-{d}nanna-{d}amar-{d}suen-ra-ki-ag₂-an-na,EnNannaAmarSuʾenrakiʾaŋana[1]PN,EN AN ŠEŠ KI AN AMAR AN EN ZU RA KI |NINDA₂×NE| AN NA,
En-{d}nanna-{d}amar-{d}suen-ra-ki-ag₂,EnNannaAmarSuʾenrakiʾaŋana[1]PN,EN AN ŠEŠ KI AN AMAR AN EN ZU RA KI |NINDA₂×NE|,
En-{d}Nanše-ki-ag₂,EnNanšekiʾaŋ[]PN,EN AN |AB×HA| KI |NINDA₂×NE|,
En-{d}Nisaba,EnNisaba[]PN,EN AN ŠE NAGA,CUSAS 16 294 o 4 (copy/photo)
Engar-HI-lu₂,Engardug[]PN,APIN HI LU₂,AUCT 1 425 r 1: ŋiri3 Engar-HI lu2 saŋŋa (copy/photo)
Engar-du₁₀,Engardug[]PN,APIN HI,
Engar-du₁₀-ta,Engardug[]PN,APIN HI TA,
Engar-zi,Engarzid[]PN,APIN ZI,
Ep-qu₂-ša,Ipquša[]PN,IB KU ŠA,'her (female DN?) protection'?
Ep-qu₂-ša-ta,Ipquša[]PN,IB KU ŠA TA,
Er-re-šum,Errešum[]PN,IR RI TAG,
Er-re-šum-ta,Errešum[]PN,IR RI TAG TA,
Er₂-kal-la,Erkala[]PN,A IGI KAL LA,
Er₂-ki-gu-la,Erkigulak[]PN,A IGI KI GU LA,
Er₂-ra-na-da,Erranada[]PN,A IGI RA NA DA,
Er₃-pa₂-dan,Errapadan[]PN,ARAD BA KAL,
Er₃-ra,Erra[]DN,ARAD RA,part of PNs
Er₃-ra-DINGIR-ka,Erraʾilka[]PN,ARAD RA AN KA,
Er₃-ra-KAL,Errarabi[]PN,ARAD RA KAL,
Er₃-ra-UR.SAG,Erraqarrad[]PN,ARAD RA UR SAG,"or, Erraqurad?"
Er₃-ra-UR.SAG-ga,Erraqarradka[]PN,ARAD RA UR SAG GA,uncertain; SET 114 r 10 (GA for GA2?; no copy/photo)
Er₃-ra-UR.SAG-ga₂,Erraqarradka[]PN,ARAD RA UR SAG GA₂,uncertain; SET 114 r 9 (restored; GA2 is typo?; no copy/photo)
Er₃-ra-a,Erraya[]PN,ARAD RA A,hypo?
Er₃-ra-a-ta,Erraya[]PN,ARAD RA A TA,
Er₃-ra-ba-ni,Errabani[]PN,ARAD RA BA NI,
Er₃-ra-ba-ni-ta,Errabani[]PN,ARAD RA BA NI TA,
Er₃-ra-ga-še-ir,Erragašir[]PN,ARAD RA GA ŠE IR,
Er₃-ra-ga-ši-ir,Erragašir[]PN,ARAD RA GA IGI IR,
Er₃-ra-gar₃,Er₃.ra.GAR₃[]PN,ARAD RA GAR₃,
Er₃-ra-ha-bi-it,Errahabit[]PN,ARAD RA HA BI A₂,
Er₃-ra-ma-lik,Erramalik[]PN,ARAD RA MA UR,
Er₃-ra-ma-ma,Erramama[]PN,ARAD RA MA MA,
Er₃-ra-mu-da,Erraŋuda[]PN,ARAD RA MU DA,
Er₃-ra-na-da,Erranada[]PN,ARAD RA NA DA,
Er₃-ra-na-dan,Erranadan[]PN,ARAD RA NA KAL,
Er₃-ra-nu-id,Erranuʾʾid[]PN,ARAD RA NU A₂,
Er₃-ra-pa₂-dan,Errapadan[]PN,ARAD RA BA KAL,
Er₃-ra-qu₂-ra-ad,Erraqurad[]PN,ARAD RA KU RA AD,
Er₃-ra-sar,Errašar[]PN,ARAD RA SAR,
Er₃-ra-ta,Erra[]PN,ARAD RA TA,uncertain; CT 32 45 BM 103428 r 7: 1 gud ki Er3?#-ra-ta (copy)
Er₃-ra-ur-sag,Erraqarrad[]PN,ARAD RA UR SAG,"or, Erraqurad?"
Er₃-re-a,Erreʾa[]PN,ARAD RI A,
Er₃-re-šum,Errešum[]PN,ARAD RI TAG,
Er₃-re-sum,Errešum[]PN,ARAD RI SUM,
Er₃-si-DINGIR-ta,Er₃.si.DINGIR[]PN,ARAD SI AN TA,Iršiʾilam 'he acquired a god'?
Er₃-zu-dan-ta,Warassudan[]PN,ARAD ZU KAL TA,
Ereš₂{ki},Ereš[]SN,NAGA KI,
Eridu,Eridug[]SN,NUN,
Eridu-še₃,Eridug[]SN,NUN EŠ₂,
Eridu{ki},Eridug[]SN,NUN KI,
Eridu{ki}-še₃,Eridug[]SN,NUN KI EŠ₂,
Eridu{ki}-ga,Eridug[]SN,NUN KI GA,
Es₃-sa-tu,Essatu[]PN,AB SA TU,
GA₂-bi,GA₂.bi[]PN,GA₂ BI,uncertain; MVN 15 281 o 5: x#-bi Hu-ba-nu-ur / i3-dab5 (copy)
GA₂-e₂-gal{ki},GA₂.e₂.gal{ki}[]SN,GA₂ E₂ GAL KI,uncertain; RT 37 136 2 9: a-šag4? GA2-e2?-gal{ki} (no copy/photo)
|GA₂×GI|-kal-la-ta,GA₂×GI.kal.la[]PN,|GA₂×GI| KAL LA TA,Bisaŋkala?
GAL.ZU-da₅-bu₃-ul-si-in,Galzudabulsin[]PN,GAL ZU URUDA |KA×GAN₂@T| U GUD SI IN,"4 citations (SH 33, 37, 44, 45)"
GAL.ZU-da₅-bu₃-ul-si-in-ta,Galzudabulsin[]PN,GAL ZU URUDA |KA×GAN₂@T| U GUD SI IN TA,
GAR-ša-na{ki},GAR.ša.na{ki}[]SN,GAR ŠA NA KI,
GAR-ša-na{ki}-ka-ke₄,GAR.ša.na{ki}[]SN,GAR ŠA NA KI KA KID,
|GA×HA|.|GA×HA|-ra-a,GA×HA.GA×HA.ra.a[]PN,|GA×HA.GA×HA| RA A,uncertain; CDLI P250470 o 2: GA₂×HA?.DUG?-ra-a (photo)
GEŠTIN-i₃-li₂,GEŠTIN.i₃.li₂[]PN,GEŠTIN NI NI,AM?-i3-li3 (= Rimili?); Studies Leichty 281 07 o 6 (copy)
GI₆-na-NI,MI.na.NI[]PN,MI NA NI,CUSAS 16 294 o 5
GIŠ.IR.MIN.RA-ta,GIŠ.IR.MIN.RA[]PN,GIŠ IR MIN RA TA,AnOr 12 277 o iii 1 (copy unclear)
GIŠGAL-ni,URU×MIN.ni[]PN,|URU×MIN| NI,Uruni 'his town?/his exalted(ness?'); MVN 13 231 r 1 (copy/photo)
GUL-pa-e₃,Isinpaʾe[]PN,GUL PA UD DU,uncertain (BPOA 6 0173 r 2; no copy/photo)
GUR-la-NI-lu,GA₂×AN.PIRIG.lu[]PN,GUR LA NI LU,uncertain; AUCT 3 189 o 3 (copy/photo)
Ga-NI,Galiʾa[]PN,GA NI,uncertain; AUCT 1 644 r 2: Ga-ni-a-x# (copy/photo)
Ga-NI-a-ta,Galiʾa[]PN,GA NI A TA,
Ga-a-ga-ma,Gagama[]PN,GA A GA MA,
Ga-ab-lu-lu,Gablulu[]PN,GA AB LU LU,
Ga-ad-da-du,Gaddadu[]PN,GA AD DA DU,
Ga-ad-ma-nu-um,Gadmanum[]PN,GA AD MA NU UM,
Ga-ba-ba,Gababa[]PN,GA BA BA,
Ga-ba-tal,Gapatal[]PN,GA BA RI,Hurrian
Ga-bi₂-da-num₂,Gabidanum[]PN,GA NE DA LUM,
Ga-šid-da-du,Gašiddadu[]PN,GA ŠID DA DU,
Ga-šu,Gaga[]PN,GA ŠU,Orient 16 045 24 seal 3: dumu Ga-ga (copy/photo)
Ga-da-bi,Gadabi[]PN,GA DA BI,
Ga-eš₅{ki},Gaʾeš[]SN,GA DIŠ DIŠ DIŠ KI,
Ga-eš₅{ki}-še₃,Gaʾeš[]SN,GA DIŠ DIŠ DIŠ KI EŠ₂,
Ga-eš₅{ki}-ta,Gaʾeš[]SN,GA DIŠ DIŠ DIŠ KI TA,
Ga-eš{ki},Gaʾeš[]SN,GA U U U KI,
Ga-eš{ki}-še₃,Gaʾeš[]SN,GA U U U KI EŠ₂,
Ga-eš{ki}-ka,Gaʾeš[]SN,GA U U U KI KA,
Ga-gi-ta,Gagi[]PN,GA GI TA,
Ga-na-lum,GA.na.LUM[]PN,GA NA LUM,"< ganānu 'confine', kanānu 'twist', qanānu 'make a nest'?"
Ga-na-na-tum,GA.na.na.tum[]PN,GA NA NA TUM,"< ganānu 'confine', kanānu 'twist', qanānu 'make a nest'?"
Ga-ra-a,Gara[]PN,GA RA A,"or, Garaʾa/Garaya?"
Ga-ra-da-du,Garadadu[]PN,GA RA DA DU,LU2.SU (3 citations AS 04); = Garadatu?
Ga-ra-da-tu,Garadatu[]PN,GA RA DA TU,MVN 15 142 o 22' (SH XX; copy/photo); = Garadadu?
Ga-ra-du,GA.ra.du[]PN,GA RA DU,Qarradu?; MVN 11 140 o 12 (copy/photo)
Ga₂-a-kam,Ŋakam[]PN,GA₂ A |HI×BAD|,
Gab₂-ba{ki},Gaba[]SN,KAB BA KI,
Gab₂-la-AŠ{ki},Gablaš[]SN,KAB LA AŠ KI,"or, Kablaš?"
Gab₂-la-aš{ki},Gablaš[]SN,KAB LA AŠ KI,
Gal-PI,Gal.PI[]PN,GAL PI,MVN 11 140 o 12 (copy/photo)
Gal-la-a,Gala[]PN,GAL LA A,"or, Galaʾa/Galaya?"
Gal-la-a-še₃,Gala[]PN,GAL LA A EŠ₂,
Gar₃-AN,GAR₃.AN[]PN,GAR₃ AN,TIM 6 15 o 15 (copy)
Gar₃-NE-NE{ki},Gar₃.NE.NE{ki}[]SN,GAR₃ NE NE KI,
Gar₃-NE.NE{ki},Gar₃.NE.NE{ki}[]SN,GAR₃ NE NE KI,
Gar₃-NE.NE{ki}-me-eš₂,Gar₃.NE.NE{ki}[]SN,GAR₃ NE NE KI ME EŠ₂,
Gar₃-du₈-a{ki},Guduʾa[]SN,GAR₃ DUH A KI,MVN 08 142 o 4: 1 sila4 ensi2 Gu2-du8-a{ki} (copy/photo)
Ge-na,Gina[]PN,GI NA,hypo?; NYPL 206 o 7 (copy/photo)
Geme₂-bara₂-si-ga,Gemebaragesiga[]PN,SAL KUR BARA₂ SI GA,
Geme₂-e₂-an-na,GemeʾEʾanak[]PN,SAL KUR E₂ AN NA,
Geme₂-sa₆-ga,Gemesaga[]PN,SAL KUR ŠA₆ GA,
Geme₂-ur-sag-pa-e₃,Gemeʾursaŋpaʾek[]PN,SAL KUR UR SAG PA UD DU,
Geme₂-{d}Ba-u₂-ke₄,GemeBaʾuk[]PN,SAL KUR AN BA U₂ KID,
Geme₂-{d}Šul-pa-e₃,GemeŠulpaʾek[]PN,SAL KUR AN DUN PA UD DU,
Geme₂-{d}En-lil₂-la₂,GemeEnlilak[]PN,SAL KUR AN EN KID LAL,
Geme₂-{d}En-lil₂-la₂-še₃,GemeEnlilak[]PN,SAL KUR AN EN KID LAL EŠ₂,
Geme₂-{d}En-lil₂-la₂-ke₄,GemeEnlilak[]PN,SAL KUR AN EN KID LAL KID,
Geme₂-{d}Gestin-an-na,GemeGeštinAnakak[]PN,SAL KUR AN GESTIN AN NA,
Geme₂-{d}Nanna,GemeNannak[]PN,SAL KUR AN ŠEŠ KI,
Geme₂-{d}Nin-a-zu,GemeNinazuk[]PN,SAL KUR AN SAL TUG₂ A ZU,
Geme₂-{d}Nin-li₂-la₂,GemeNinlilak[]PN,SAL KUR AN SAL TUG₂ NI LAL,
Geme₂-{d}Nin-lil₂,GemeNinlilak[]PN,SAL KUR AN SAL TUG₂ KID,
Geme₂-{d}Nin-lil₂-še₃,GemeNinlilak[]PN,SAL KUR AN SAL TUG₂ KID EŠ₂,
Geme₂-{d}Nin-lil₂-ka,GemeNinlilak[]PN,SAL KUR AN SAL TUG₂ KID KA,
Geme₂-{d}Nin-lil₂-ka-še₃,GemeNinlilak[]PN,SAL KUR AN SAL TUG₂ KID KA EŠ₂,
Geme₂-{d}Nin-lil₂-la₂,GemeNinlilak[]PN,SAL KUR AN SAL TUG₂ KID LAL,
Geme₂-{d}Nin-lil₂-la₂-še₃,GemeNinlilak[]PN,SAL KUR AN SAL TUG₂ KID LAL EŠ₂,
Geme₂-{d}Nin-lil₂-la₂-ka,GemeNinlilak[]PN,SAL KUR AN SAL TUG₂ KID LAL KA,
Geme₂-{d}Nin-lil₂-la₂-ka-še₃,GemeNinlilak[]PN,SAL KUR AN SAL TUG₂ KID LAL KA EŠ₂,
Geme₂-{d}Suen,GemeSuʾenak[]PN,SAL KUR AN EN ZU,
Gi-da-nu-um{ki},Zidanum[]SN,GI DA NU UM KI,uncertain; SET 059 o 10: 1 udu niga Ra-ši lu2 Gi?/Zi?-da-nu-um{ki} (GI read for ZI?; no copy/photo)
Gi-gi-ib-ni{ki},Gigibni[]SN,GI GI IB NI KI,Babyl. 8 Pupil 30 r 1: Še-et-pa2-tal lu2 Gi-gi/-ib-ni{ki} (copy)
Gi-ib-la-ta-gu₂,Giblatagu[]PN,GI IB LA TA GU₂,uncertain; CHEU 006 o i 15: (1 sila4) Gi-ib-la-[x]/-gu2?# (copy)
Gi-ir-ša-ti,Giršati[]PN,GI IR ŠA TI,
Gi-nu-na,Ginuna[]PN,GI NU NA,
Gi₄-su,Gisu[]PN,GI₄ SU,
Giš-a-ni,Ŋešani[]PN,GIŠ A NI,
Gir-ba-tal,Girpatal[]PN,HA@G BA RI,Hurrian
Gir-ri,Girri[]PN,HA@G RI,lu2-kin-gi4-a < Anšan
Gir₁₃-giš{ki},Girŋeš[]SN,ŠID GIŠ KI,
Gir₁₃-tab{ki},Girtab[]SN,ŠID TAB KI,
Gir₁₃-tab{ki}-še₃,Girtab[]SN,ŠID TAB KI EŠ₂,
Gir₁₃-tab{ki}-ta,Girtab[]SN,ŠID TAB KI TA,
Gir₂-ri-ri,Ŋiriri[]PN,GIR₂ RI RI,uncertain; BPOA 6 0187 o 13: 2 udu u2 Gir2?#-ri-ri (no copy/photo)
Gir₂-su,Ŋirsu[]SN,GIR₂ SU,
Gir₂-su-ke₄-ne,Ŋirsu[]SN,GIR₂ SU KID NE,
Gir₂-su{ki},Ŋirsu[]SN,GIR₂ SU KI,
Gir₂-su{ki}-še₃,Ŋirsu[]SN,GIR₂ SU KI EŠ₂,
Gir₂-su{ki}-ka,Ŋirsu[]SN,GIR₂ SU KI KA,
Gir₂-su{ki}-ke₄,Ŋirsu[]SN,GIR₂ SU KI KID,
Gir₂-su{ki}-ke₄-ne,Ŋirsu[]SN,GIR₂ SU KI KID NE,
Gir₂-su{ki}-me,Ŋirsu[]SN,GIR₂ SU KI ME,
Gir₂-su{ki}-ta,Ŋirsu[]SN,GIR₂ SU KI TA,
Giri₃-ša-ma,GIR₃.ša.ma[]PN,GIR₃ ŠA MA,etym (/ŋ/ or /g/)?; MVN 03 339 o 3 (copy/photo)
Giri₃-gid₂-da{ki},Ŋirigida[]SN,GIR₃ BU DA KI,
Giri₃-ir,GIR₃.ir[]PN,GIR₃ IR,"Ŋ/Girir, Ŋ/Giriʾir? (probly Sem); Studies Levine 115-119 i 29' (no copy/photo)"
Giri₃-ne₂,Ŋirini[]PN,GIR₃ NI,hypo?
Giri₃-ne₂-ab-e₃,Ŋiriniʾabe[]PN,GIR₃ NI AB UD DU,
Giri₃-ne₂-še₃,Ŋiriniše[]PN,GIR₃ NI EŠ₂,
Giri₃-ne₂-i₃-dab₅,Ŋirineʾidab[]PN,GIR₃ NI NI KU,
Giri₃-ne₂-i₃-sa₆,Ŋirineʾisag[]PN,GIR₃ NI NI ŠA₆,
Giri₃-ne₂-i₃-sa₆-ka-še₃,Ŋirineʾisag[]PN,GIR₃ NI NI ŠA₆ KA EŠ₂,
Giri₃-ne₂-i₃-sa₆-ra,Ŋirineʾisag[]PN,GIR₃ NI NI ŠA₆ RA,
Giri₃-ne₂-i₃-sa₆-ta,Ŋirineʾisag[]PN,GIR₃ NI NI ŠA₆ TA,
Giri₃-ne₂-ta,Ŋirini[]PN,GIR₃ NI TA,
Giri₃-ni-še₃,Ŋiriniše[]PN,GIR₃ NI EŠ₂,
Giri₃-sa₆-sa₆,Ŋirisagsag[]PN,GIR₃ ŠA₆ ŠA₆,
Giri₃-{d}Šara₂-i₃-dab₅,ŊiriŠaraʾidab[]PN,GIR₃ AN |LAGAB×IGI@G| NI KU,
Giri₃-{d}Šul-gi,ŊiriŠulgi[]PN,GIR₃ AN DUN GI,hypo?; MVN 15 269 o 1: 1 sila4 GIR3?/ANŠE?-{d}/Šul-gi (copy)
Giri₃-{d}Nanše,ŊiriNanše[]PN,GIR₃ AN |AB×HA|,hypo?; AUCT 2 054 r 2: 1 gud Giri3-{d}Nanše [x?] (copy/photo)
Gu-ša{ki},Guša[]SN,GU ŠA KI,
Gu-še,Guše[]PN,GU ŠE,
Gu-da-a,Guda[]PN,GU DA A,"or, Gudaʾa/Gudaya?"
Gu-du,Gudu[]PN,GU DU,
Gu-du-du,Gududu[]PN,GU DU DU,
Gu-du-du-me,Gududu[]PN,GU DU DU ME,
Gu-du-du-ta,Gududu[]PN,GU DU DU TA,
Gu-du-me-ri-iš,Gudumeriš[]PN,GU DU ME RI IŠ,< LU2.SU.A{ki}
Gu-la-a,Gulaʾa[]PN,GU LA A,"or, Gulaʾa/Gulaya?"
Gu-lu₅-lu₅,Gululu[]PN,GU LUL LUL,
Gu-ma,Gumaraši[]SN,GU MA,typo
Gu-ma-ra-ši,Gumaraši[]SN,GU MA RA IGI,
Gu-ma-ra-ši{ki},Gumaraši[]SN,GU MA RA IGI KI,
Gu-ni-id-da-hi,Gunidahi[]PN,GU NI A₂ DA HI,
Gu-ra-a,Gura[]PN,GU RA A,"or, Guraʾa/Guraya?; < Ebla/Uršu"
Gu-ru-ru-a,Gururuʾa[]PN,GU RU RU A,
Gu-ru-sal₄-la{ki},Gurusala[]SN,GU RU SILA₃ LA KI,
Gu-u₂-UD,Gu.u₂.UD[]PN,GU U₂ UD,RA 09 051 SA 200 (pl.5) o 5: 2 udu niga Gu-u2-UD / lu2 Hu-ur-ti-en{ki}
Gu-un-da,Gunda[]PN,GU UN DA,
Gu-za-LUM,GU.za.LUM[]PN,GU ZA LUM,"< guzallu 'rascal', guzalû 'throne-bearer', g/kuzallu 'shepherd', Kuzallu 'OA/MA MN'?"
Gu-za-na,Guzana[]PN,GU ZA NA,= Guzani?
Gu-za-na-ke₄,Guzana[]PN,GU ZA NA KID,
Gu-za-na-ta,Guzana[]PN,GU ZA NA TA,
Gu-za-ni,Guzani[]PN,GU ZA NI,= Guzana?
Gu-za-ni-ta,Guzani[]PN,GU ZA NI TA,
Gu-za-zi,Guzazi[]PN,GU ZA ZI,
Gu-ze₂,Guze[]PN,GU ZE₂,Guṣi?
Gu-zi-mu,Gu.zi.MU[]PN,GU ZI MU,Sum. or Akk./Sem.?; PDT 1 408 o 4 (no copy/photo)
Gu-zu-zu,Guzuzu[]PN,GU ZU ZU,Guṣuṣu?
Gu₂-TAR-la₂,Guhašla[]PN,GU₂ TAR LAL,Mr. Barber
Gu₂-ab-ba{ki},Guʾaba[]SN,GU₂ AB BA KI,
Gu₂-de₂-a,Gudeʾa[]PN,GU₂ DE₂ A,"MVN 07, 454 o 3: Gu3?-de2-a (so CDLI; no copy/photo)"
Gu₂-du₈-a,Guduʾa[]SN,GU₂ DUH A,
Gu₂-du₈-a-ke₄,Guduʾa[]SN,GU₂ DUH A KID,
Gu₂-du₈-a-ta,Guduʾa[]SN,GU₂ DUH A TA,
Gu₂-du₈-a{ki},Guduʾa[]SN,GU₂ DUH A KI,
Gu₂-du₈-a{ki}-,Guduʾa[]SN,GU₂ DUH A KI,typo (TCUR 19 o 3-4; written over 2 lines; tranlsit only)
Gu₂-du₈-a{ki}-še₃,Guduʾa[]SN,GU₂ DUH A KI EŠ₂,
Gu₂-du₈-a{ki}-ka,Guduʾa[]SN,GU₂ DUH A KI KA,
Gu₂-du₈-a{ki}-me,Guduʾa[]SN,GU₂ DUH A KI ME,
Gu₂-du₈-a{ki}-ta,Guduʾa[]SN,GU₂ DUH A KI TA,
Gu₂-du₈-a¶{ki},Guduʾa[]SN,GU₂ DUH A¶ KI,formatting
Gu₂-ur₂-gu-la{ki},Gurgula[]SN,GU₂ UR₂ GU LA KI,
Gu₃-de₂-a,Gudeʾa[]PN,KA DE₂ A,
Gu₃-de₂-a-še₃,Gudeʾa[]PN,KA DE₂ A EŠ₂,
Gu₃-de₂-a-ni,Gudeʾani[]PN,KA DE₂ A NI,
Gu₃-de₂-a-ta,Gudeʾa[]PN,KA DE₂ A TA,
Gu₃-zi-de₂-a,Guziddeʾa[]PN,KA ZI DE₂ A,
Gu₄-KU-uz,Gukuz[]PN,GUD KU ŠE HU,Syracuse 064 r 17 (copy/photo)
Gu₄-da-šum,Gudašum[]PN,GUD DA TAG,
Gu₅-ub-la{ki},Gubla[]SN,KU UB LA KI,
Gur-da-a,Gurda[]PN,GUR DA A,"or, Gurdaʾa/Gurdaya?"
HAR-šum,HI×AŠ₂.šum[]PN,|HI×AŠ₂| TAG,uncertain; RA 19 192 04 r 1: (ŋiri3 PN) u3 dumu? HAR?-šum (copy)
HAR-sa₆-sa₆,HI×AŠ₂.sag₉.sag₉[]PN,|HI×AŠ₂| ŠA₆ ŠA₆,
HAR-sa₆-sa₆-ta,HI×AŠ₂.sag₉.sag₉[]PN,|HI×AŠ₂| ŠA₆ ŠA₆ TA,
HAR-ti,Hurti[]SN,|HI×AŠ₂| TI,
HI-mu,Dugaŋu[]PN,HI MU,uncertain; SAT 3 2104 r ii 3 (no copy/photo)
HI.GAL₂-ta,Heŋal[]PN,HI IG TA,uncertain; may not be PN (2 PD refs)
|HI×SAR|,HI×SAR.gu.ni.na[]PN,|HI×SAR|,TRU 373 o 5 (whole line is probly PN; copy/photo)
Ha-ab-ru,Habru[]PN,HA AB RU,
Ha-ab-ru-bu,Habrušer[]PN,HA AB RU BU,AUCT 1 415 o 2: mu-DU Ha-ab-ru-še-er (so photo; copy ends -bu)
Ha-ab-ru-ša,Habruša[]PN,HA AB RU ŠA,
Ha-ab-ru-še-er,Habrušer[]PN,HA AB RU ŠE IR,
Ha-aš-ma-nu-um,Hašmanum[]PN,HA AŠ MA NU UM,Martu
Ha-aš-ti-a,Haštiʾa[]PN,HA AŠ TI A,
Ha-ad-ha-ad,Hadhad[]PN,HA AD HA AD,
Ha-za-ab-tum,Hanzabtum[]PN,HA ZA AB TUM,typo
Ha-an--za-ab-tum,Hanzabtum[]PN,HA AN ZA AB TUM,typo
Ha-an-DU,Handu[]PN,HA AN DU,= Ha-an-du-u2 at Garshana?
Ha-an-za-ab-tum,Hanzabtum[]PN,HA AN ZA AB TUM,
Ha-an-za-ab-tum-ma-še₃,Hanzabtum[]PN,HA AN ZA AB TUM MA EŠ₂,
Ha-ar-bi₂-in,Harbin[]PN,HA IGI RI NE IN,
Ha-ar-ši,Harši[]SN,HA IGI RI IGI,
Ha-ar-ši-ki,Harši[]PN,HA IGI RI IGI KI,
Ha-ar-ši{ki},Harši[]SN,HA IGI RI IGI KI,
Ha-ar-ši{ki}-me,Harši[]SN,HA IGI RI IGI KI ME,
Ha-ar-ši{ki}-me-eš₂,Harši[]SN,HA IGI RI IGI KI ME EŠ₂,
Ha-ar-pa₂-tal,Harpatal[]PN,HA IGI RI BA RI,Hurrian
Ha-ar-si{ki},Harši[]SN,HA IGI RI SI KI,
Ha-ar₂-ši{ki},Harši[]SN,HA UB IGI KI,
Ha-ba-an-zi-zi,Habanzigzig[]PN,HA BA AN ZI ZI,may not be Sum.
Ha-ba-ba,Hababa[]PN,HA BA BA,hypo?
Ha-ba-ba-tum,Hababatum[]PN,HA BA BA TUM,
Ha-ba-mu,Habamu[]PN,HA BA MU,
Ha-ba-lu₅-ge₂,Habaluge[]PN,HA BA LUL KID,
Ha-ba-tum-li-ip-du,Habatumlipdum[]PN,HA BA TUM LI IB DU,"AS 07, 08"
Ha-ba-tum-li-ip-tum,Habatumlipdum[]PN,HA BA TUM LI IB TUM,AS 09
Ha-ba-za-tum-še₃,Habazatum[]PN,HA BA ZA TUM EŠ₂,
Ha-bi₂-ša,Habiša[]PN,HA NE ŠA,
Ha-bi₂-da-tal,Habidatal[]PN,HA NE DA RI,Hurrian
Ha-bi₂-it-be-li₂,Habitbeli[]PN,HA NE A₂ BAD NI,BPOA 7 2918 r 1: [Ha?-b]i2-it/-be-li2 (photo)
Ha-bu-ra,Habura[]SN,HA BU RA,
Ha-bu-ra{ki},Habura[]SN,HA BU RA KI,
Ha-bu-ri₂-tum-ma,Haburitum[]DN,HA BU URU TUM MA,
Ha-ši-ip-a-tal,Hašipatal[]PN,HA IGI IB A RI,Hurrian
Ha-ši-ma-tal-ta,Hašipatal[]PN,HA IGI MA RI TA,b/m/p writings likely indicative of /f/ in Hurrian
Ha-ši-pa₂-tal,Hašipatal[]PN,HA IGI BA RI,
Ha-ši-pa₂-tal{ki},Hašipatal[]PN,HA IGI BA RI KI,KI probly lapsis from previous line (JCS 31 166 o 2; copy/photo)
Ha-šu-an-num{ki},Hašuʾannum[]SN,HA ŠU AN NIM KI,
Ha-da-da,Hadada[]PN,HA DA DA,
Ha-da-ti,Hadati[]PN,HA DA TI,
Ha-ga-ar{ki},Hagar[]SN,HA GA IGI RI KI,
Ha-hu-um{ki},Hahum[]SN,HA HU UM KI,
Ha-la-a,Hala[]PN,HA LA A,"or, Halaʾa/Halaya?"
Ha-la-a-ta,Hala[]PN,HA LA A TA,
Ha-la-aš-ti,Halašti[]PN,HA LA AŠ TI,
Ha-la-la,Halala[]PN,HA LA LA,
Ha-la-ti,Halati[]PN,HA LA TI,
Ha-la-{d}Lamma,HalaLammarak[]PN,HA LA AN KAL,spelling showing final -r never appears
Ha-li₂,Hali[]PN,HA NI,= Halli?
Ha-li₂-li₂,Halili[]PN,HA NI NI,sandhi for Hal-i3-li2?
Ha-li₂-li₂-še₃,Halili[]PN,HA NI NI EŠ₂,
Ha-lu-lu-a,Haluluʾa[]PN,HA LU LU A,
Ha-lu₅,Halu[]PN,HA LUL,Halug/Haluge?
Ha-lu₅-lu₅,Halulu[]PN,HA LUL LUL,
Ha-ma-zi₂{ki},Hamazi[]SN,HA MA ZE₂ KI,
Ha-ma-zi₂{ki}-še₃,Hamazi[]SN,HA MA ZE₂ KI EŠ₂,
Ha-ma-zi₂{ki}-ka,Hamazi[]SN,HA MA ZE₂ KI KA,
Ha-ma-zi₂{ki}-ke₄,Hamazi[]SN,HA MA ZE₂ KI KID,
Ha-ma-zi₂{ki}-ta,Hamazi[]SN,HA MA ZE₂ KI TA,
Ha-ma-{d}NE-in,Ha.ma.{d}NE.in[]PN,HA MA AN NE IN,AUCT 1 486 r 19 (copy/photo)
Ha-na-ab-tum,Hanabtum[]PN,HA NA AB TUM,
Ha-na-am,Hanam[]PN,HA NA |GUD×KUR|,
Ha-ni,Hali[]PN,HA NI,= Halli?
Ha-ra-har{ki},Karahar[]SN,HA RA |HI×AŠ₂| KI,
Ha-ri-iš-hu-un-tah,Harišhuntah[]PN,HA RI IŠ HU UN |MU&MU|,MVN 13 695 o 8 (copy/photo)
Ha-ur₂-na-ni-gi₄,Haʾurnanigi[]PN,HA UR₂ NA NI GI₄,
Ha-zi,Hazi[]PN,HA ZI,Haṣi?
Hal-ba-an,Halban[]PN,HAL BA AN,
Hal-hal-la,Halhala[]PN,HAL HAL LA,
Hal-i₃-li₂,Halili[]PN,HAL NI NI,
Hal-li₂,Halli[]PN,HAL NI,
Hal-li₂-a,Halliya[]PN,HAL NI A,"or, Halliʾa?"
Hal-li₂-ia₅,Halliya[]PN,HAL NI MU,
Hal-li₂-li₂,Halili[]PN,HAL NI NI,
He-da-ti,Hedati[]PN,HI DA TI,Sum. or Akk./Sem.?
He₂-ab-su₃-e,Habsude[]PN,GAN AB SUD E,uncertain (he2 for ha?)
He₂-bi₂-la-at{ki},Hebilat[]SN,GAN NE LA AD KI,
